name*,displayName,description,owner,tags,glossaryTerms,tiers,certification,retentionPeriod,sourceUrl,domains,extension,entityType*,fullyQualifiedName,column.dataTypeDisplay,column.dataType,column.arrayDataType,column.dataLength,storedProcedure.code,storedProcedure.language
Dim_Date,,<p>Static dimension for dates. Provides calendar information for each day.</p>,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.Dim_Date,,,,,,
wind_category,,"<p>A category describing wind intensity (calm, breezy, windy)</p>",,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Dim_Weather.wind_category,string,STRING,,1
Fact_Bike_Trip,,"<p>This table contains the history of every Citibike trip. Each row represents a single ride, when it started and ended, what stations the trip started and ended at, rider and bike type, trip duration and distance, and the weather conditions at the time of the trip. It links to all dimension tables.</p>",,,,,,,,,,table,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip,,,,,,
trip_id,,<p>A unique identifier for each bike trip.</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.trip_id,uint64,BIGINT,,1
start_date_key,,<p>Foreign key linking the trip's start date to the corresponding date in dim_date</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.start_date_key,uint32,INT,,1
end_date_key,,<p>Foreign key linking the trip's end date to the corresponding date in dim_date</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.end_date_key,uint32,INT,,1
start_time_key,,<p>Foreign key linking the trip's start time to the corresponding date in dim_time</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.start_time_key,uint32,INT,,1
stop_time_key,,<p>Foreign key linking the trip's end time to the corresponding date in dim_time</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.stop_time_key,uint32,INT,,1
start_station_key,,<p>Foreign key referencing the starting station in dim_station</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.start_station_key,uint64,BIGINT,,1
end_station_key,,<p>Foreign key referencing the ending station in dim_station</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.end_station_key,uint64,BIGINT,,1
weather_key,,"<p>Foreign key linking to dim_weather, representing the weather conditions at the start of the trip (to the nearest hour)</p>",,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.weather_key,uint32,INT,,1
rider_type,,<p>Type of rider: member or casual</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.rider_type,string,STRING,,1
